Time (UTC),Open,High,Low,Close,Volume 
2024.01.11 15:30:00,78.613,78.853,78.613,78.703,0.20239
2024.01.11 15:35:00,78.698,78.853,78.648,78.753,0.1341
2024.01.11 15:40:00,78.763,78.908,78.723,78.823,0.1187
2024.01.11 15:45:00,78.833,78.903,78.788,78.838,0.16507
2024.01.11 15:50:00,78.843,78.953,78.773,78.928,0.15444
2024.01.11 15:55:00,78.933,78.993,78.918,78.943,0.11255
2024.01.11 16:00:00,78.953,78.993,78.823,78.893,0.15718
2024.01.11 16:05:00,78.898,78.973,78.783,78.853,0.13968
2024.01.11 16:10:00,78.858,78.933,78.813,78.888,0.14413
2024.01.11 16:15:00,78.893,78.983,78.838,78.923,0.13774
2024.01.11 16:20:00,78.918,79.113,78.903,79.083,0.13211
2024.01.11 16:25:00,79.073,79.113,78.938,78.983,0.17351
2024.01.11 16:30:00,78.978,79.023,78.908,78.963,0.14085
2024.01.11 16:35:00,78.953,78.983,78.788,78.893,0.11115
2024.01.11 16:40:00,78.883,78.953,78.733,78.748,0.137
2024.01.11 16:45:00,78.743,78.788,78.623,78.703,0.15596
2024.01.11 16:50:00,78.698,78.773,78.668,78.728,0.14583
2024.01.11 16:55:00,78.723,78.798,78.533,78.568,0.13974
2024.01.11 17:00:00,78.568,78.598,78.443,78.473,0.14289
2024.01.11 17:05:00,78.468,78.573,78.428,78.483,0.12067
2024.01.11 17:10:00,78.473,78.493,78.333,78.408,0.13928
2024.01.11 17:15:00,78.403,78.483,78.238,78.273,0.11697
2024.01.11 17:20:00,78.263,78.263,77.933,78.043,0.18621
2024.01.11 17:25:00,78.028,78.113,77.878,77.943,0.1627
2024.01.11 17:30:00,77.938,77.978,77.743,77.968,0.17593
2024.01.11 17:35:00,77.958,77.963,77.763,77.858,0.12096
2024.01.11 17:40:00,77.873,77.873,77.693,77.843,0.12247
2024.01.11 17:45:00,77.848,77.863,77.688,77.723,0.11875
2024.01.11 17:50:00,77.718,77.738,77.663,77.703,0.128
2024.01.11 17:55:00,77.693,77.783,77.668,77.763,0.11441
2024.01.11 18:00:00,77.758,77.758,77.533,77.698,0.15368
2024.01.11 18:05:00,77.703,77.873,77.573,77.593,0.12309
2024.01.11 18:10:00,77.588,77.593,77.473,77.573,0.14589
2024.01.11 18:15:00,77.568,77.583,77.428,77.463,0.13726
2024.01.11 18:20:00,77.473,77.533,77.333,77.373,0.11665
2024.01.11 18:25:00,77.383,77.558,77.363,77.503,0.12734
2024.01.11 18:30:00,77.493,77.537,77.413,77.443,0.14535
2024.01.11 18:35:00,77.438,77.598,77.403,77.588,0.13289
2024.01.11 18:40:00,77.593,77.598,77.383,77.398,0.10793
2024.01.11 18:45:00,77.393,77.433,77.213,77.233,0.10204
2024.01.11 18:50:00,77.243,77.283,77.213,77.223,0.10068
2024.01.11 18:55:00,77.228,77.408,77.223,77.388,0.10313
2024.01.11 19:00:00,77.393,77.553,77.343,77.533,0.13422
2024.01.11 19:05:00,77.538,77.608,77.503,77.523,0.11976
2024.01.11 19:10:00,77.528,77.528,77.318,77.333,0.11412
2024.01.11 19:15:00,77.323,77.508,77.323,77.373,0.13263
2024.01.11 19:20:00,77.378,77.568,77.378,77.563,0.12547
2024.01.11 19:25:00,77.568,77.568,77.323,77.333,0.22697
2024.01.11 19:30:00,77.348,77.433,77.303,77.433,0.08939
2024.01.11 19:35:00,77.443,77.493,77.363,77.493,0.06645
2024.01.11 19:40:00,77.488,77.543,77.478,77.528,0.04071
2024.01.11 19:45:00,77.523,77.528,77.468,77.483,0.02719
2024.01.11 19:50:00,77.488,77.573,77.483,77.533,0.03465
2024.01.11 19:55:00,77.523,77.553,77.503,77.543,0.03174
2024.01.11 20:00:00,77.523,77.543,77.498,77.523,0.02736
2024.01.11 20:05:00,77.533,77.543,77.483,77.533,0.03077
2024.01.11 20:10:00,77.543,77.573,77.533,77.548,0.03406
2024.01.11 20:15:00,77.543,77.643,77.533,77.643,0.03246
2024.01.11 20:20:00,77.633,77.693,77.633,77.683,0.02737
